CellType_A,CellType_B,1_A_count,1_B_count,1_A→B,1_B→A,1_Asymmetry,2_A_count,2_B_count,2_A→B,2_B→A,2_Asymmetry,Observed_Diff
granulocytes,vasculature,6412,5331,55.16788595010317,48.39363693075484,6.774249019348332,15732,6394,84.56365342508602,54.34146961606916,30.222183809016855,23.447934789668523
granulocytes,memory CD4+ T,6412,8055,53.91682184978275,61.24454148471615,7.327719634933402,15732,8606,84.70834301650012,65.07754894482584,19.630794071674288,12.303074436740886
granulocytes,tumor cells,6412,20437,54.401330919410874,91.18839675608234,36.78706583667147,15732,27165,84.35854960427021,95.2834986015764,10.924948997306188,25.862116839365278
granulocytes,stroma,6412,8883,54.36226500056287,66.56269494697442,12.200429946411546,15732,12243,85.33039287756269,78.43885075006357,6.891542127499122,5.3088878189124244
granulocytes,CD163+ macros,6412,14343,54.06121452973576,81.67498440424204,27.613769874506282,15732,25291,85.95152425764105,94.7114162217137,8.75989196407265,18.85387791043363
granulocytes,adipocytes,6412,1101,53.67847411444142,12.741734248284468,40.936739866156955,15732,710,85.77464788732394,8.257055682684973,77.51759220463896,36.580852338482
granulocytes,plasma cells,6412,3904,55.17418032786885,37.928883343730504,17.245296984138342,15732,4606,86.27876682587929,45.639460971268754,40.639305854610534,23.39400887047219
granulocytes,CD8+ T cells,6412,6747,55.23936564398993,56.4410480349345,1.201682390944569,15732,9928,85.20346494762289,69.77498093058733,15.428484017035558,14.226801626090989
granulocytes,Tregs,6412,906,52.86975717439294,10.324391765439799,42.54536540895314,15732,1885,85.72944297082228,20.817442156114925,64.91200081470735,22.366635405754216
granulocytes,CD4+ T cells,6412,1920,53.645833333333336,20.134123518402994,33.51170981493034,15732,639,88.10641627543035,8.257055682684973,79.84936059274537,46.33765077781503
granulocytes,CD68+ macros,6412,1023,51.90615835777126,11.650031191515907,40.256127166255354,15732,3983,83.63042932462967,39.14314772438342,44.487281600246256,4.231154433990902
granulocytes,B cells,6412,10269,54.445418249099234,68.15346225826575,13.708044009166514,15732,2774,87.34679163662581,29.093567251461987,58.25322438516382,44.545180375997305
granulocytes,smooth muscle,6412,10949,53.35647091058544,72.28633811603244,18.929867205446996,15732,16868,83.54873132558691,86.58784642766337,3.039115102076451,15.890752103370545
granulocytes,generic immune,6412,4799,53.90706397166076,44.946974422956956,8.960089548703806,15732,2278,83.9332748024583,24.211797609966943,59.721477192491356,50.76138764378755
granulocytes,NK cells,6412,34,52.94117647058824,0.40548970679975044,52.53568676378849,15732,289,88.92733564013841,3.6803966437833715,85.24693899635504,32.71125223256655
vasculature,memory CD4+ T,5331,8055,48.04469273743017,62.539861189270304,14.495168451840136,6394,8606,53.811294445735534,63.98185799186737,10.170563546131838,4.3246049057082985
vasculature,tumor cells,5331,20437,48.19200469736263,91.67135621834552,43.479351520982895,6394,27165,53.278115221792746,95.29246168282765,42.014346461034904,1.4650050599479911
vasculature,stroma,5331,8883,47.61904761904761,66.57287563308948,18.953828014041868,6394,12243,54.17789757412399,77.38504848295277,23.20715090882878,4.253322894786912
vasculature,CD163+ macros,5331,14343,48.58118943038416,83.75539298443069,35.17420355404653,6394,25291,55.051203985607536,94.65123553331249,39.60003154770495,4.425827993658423
vasculature,adipocytes,5331,1101,48.047229791099,12.86812980679047,35.17909998430853,6394,710,49.859154929577464,7.77291210509853,42.08624282447894,6.907142840170408
vasculature,plasma cells,5331,3904,50.307377049180324,39.46726692928156,10.840110119898767,6394,4606,54.559270516717326,44.88583046606193,9.673440050655394,1.1666700692433736
vasculature,CD8+ T cells,5331,6747,49.25151919371572,56.94991558806978,7.698396394354056,6394,9928,55.58017727639001,70.34720050046919,14.767023224079175,7.068626829725119
vasculature,Tregs,5331,906,48.78587196467991,11.029825548677547,37.75604641600236,6394,1885,55.49071618037136,21.42633719111667,34.06437898925469,3.691667426747671
vasculature,CD4+ T cells,5331,1920,47.604166666666664,20.709060213843557,26.895106452823107,6394,639,53.20813771517997,7.694713794182046,45.51342392099793,18.618317468174823
vasculature,CD68+ macros,5331,1023,48.68035190615836,11.986494091164884,36.69385781499347,6394,3983,53.075571177504386,38.17641538942759,14.899155788076797,21.794702026916674
vasculature,B cells,5331,10269,50.78391274710293,72.57550178202963,21.7915890349267,6394,2774,57.35400144196107,29.99687206756334,27.357129374397726,5.565540339471024
vasculature,smooth muscle,5331,10949,47.913051420221024,74.78897017445132,26.875918754230298,6394,16868,52.66184491344558,86.1276196434157,33.46577472997012,6.589855975739823
vasculature,generic immune,5331,4799,48.447593248593456,46.595385481148,1.8522077674454565,6394,2278,54.521510096575945,24.89834219580857,29.623167900767374,27.770960133321918
vasculature,NK cells,5331,34,50.0,0.4501969611705121,49.54980303882949,6394,289,56.40138408304498,3.7691585861745383,52.63222549687044,3.082422458040952
memory CD4+ T,tumor cells,8055,20437,61.98072124088662,91.23525760397268,29.25453636308606,8606,27165,64.06037180195105,94.58517313502209,30.52480133307104,1.2702649699849786
memory CD4+ T,stroma,8055,8883,62.15242598221321,67.51086281812539,5.35843683591218,8606,12243,64.64918729069673,76.6674413200093,12.018254029312573,6.659817193400393
memory CD4+ T,CD163+ macros,8055,14343,63.14578540054382,82.6691495965239,19.523364195980072,8606,25291,64.67122691866672,93.73692772484313,29.06570080617641,9.542336610196337
memory CD4+ T,adipocytes,8055,1101,61.30790190735694,13.159528243327125,48.14837366402982,8606,710,63.38028169014085,8.5289333023472,54.85134838779365,6.70297472376383
